"","Microdraw_name","Log10Area.cb","Log10Length.cb","Log10Area.ctx","Log10Length.ctx","Log10WidthMedian","Log10PeriodMedian","Log10ThicknessMedian","Binomial_name","Binomial_name_timetree","English_name","Provenance","Log10BodyWeight","Log10BrainWeight"
"Ailurus_fulgens","Red panda",2.19668516283699,2.40056863170711,2.59865401397146,2.2167069617391,-0.0628028259027429,0.37166264659864,-0.674236063417515,"Ailurus_fulgens","Ailurus_fulgens","Red panda","Brainmuseum",8.49699048409872,3.70990682130601
"Alouatta_palliata","Mantled howler",2.26090626267579,2.36424692150398,2.78314096243023,2.36019199767879,0.175955853924896,0.729701919921975,-0.61232904119786,"Alouatta_palliata","Alouatta_palliata","Mantled howler","Brainmuseum",8.74033674273045,3.90962012081184
"Aotus_trivirgatus","Night Monkey cell stained coronal",2.06028511915246,2.23172742496462,2.64298787610257,2.15107405450895,0.164418732355889,0.722070762264329,-0.571787428849808,"Aotus_trivirgatus","Aotus_trivirgatus","Night monkey","Brainmuseum",6.89669433162271,2.82435065679837
"Aplodontia_rufa","Mountain beaver",1.94875174994049,2.13221521760003,2.0800009713584,1.69294935093123,-0.0458253098810061,0.331602658532812,-0.765416919277597,"Aplodontia_rufa","Aplodontia_rufa","Mountain beaver","Brainmuseum",7.00306545878646,1.95160817016995
"Bassariscus_astutus","Ringtail cat Cell stain",1.95471455202776,2.30613717236209,2.31844941676086,2.05487542749549,-0.13382111633104,0.288172358073465,-0.790731691888884,"Bassariscus_astutus","Bassariscus_astutus","Ringtail cat","Brainmuseum",7.02997291170639,2.79971738962803
"Bos_indicus","Zebu cell stained",2.82108389968352,2.72405622799421,3.40829744084729,2.8114406583296,0.127165037403001,0.605298306128169,NA,"Bos_taurus_indicus","Bos_indicus","Zebu","Brainmuseum",13.1615840905576,6.12249280951438
"Canis_lupus","Dog",2.46824003718079,2.56698534488661,2.92361463203038,2.42051625280596,0.12560368689157,0.410105490744968,-0.551357051528742,"Canis_familiaris","Canis_lupus","Dog","Brainmuseum",10.3449630981673,4.86753445045558
"Capra_hircus","Goat",2.34251025313521,2.59708340223617,2.8425983877706,2.52302952167029,-0.0181742091225844,0.374439857914466,-0.698807174434004,"Capra_hircus_domestica","Capra_hircus","Goat","Brainmuseum",10.3089526606442,4.66343909411206
"Castor_canadensis","American beaver",2.15134263749826,2.22538473824187,2.51347874954911,1.91184156330682,0.118415814778734,0.479436181560094,-0.718907518155115,"Castor_canadensis","Castor_canadensis","American beaver","Brainmuseum",8.32161616781983,3.06339092202781
"Cavia_porcellus","Guineapig",1.40815964115834,1.64431178524736,1.86466104875818,1.63412212077443,-0.258874554813512,0.321195930897724,-0.813266798986057,"Cavia_porcellus","Cavia_porcellus","Guinea pig","Brainmuseum",6.16541785423142,1.57484646766448
"Chinchilla_lanigera","Long-tailed chinchilla Cell",1.67217543201107,1.9813035769949,1.9756891909507,1.65425357856236,-0.0140677712694933,0.339603341193427,-0.80996540481897,"Chinchilla_lanigera","Chinchilla_lanigera","Long-tailed chinchilla","Brainmuseum",5.91889385427314,1.91692261218206
"Choloepus_didactylus","Two-toed Sloth",2.32805260607462,2.31547632631613,2.45287220521957,2.0743929480948,0.180339214884503,0.510771782457696,-0.665761438771177,"Choloepus_didactylus","Choloepus_didactylus","Two-toed sloth","Brainmuseum",8.31385226739821,3.25540059955057
"Crocuta_crocuta","Spotted hyena cell stained",2.51232266462071,2.57566553447288,3.0611771252573,2.47141600136123,0.096416900013105,0.505659605138727,-0.478788667982435,"Crocuta_crocuta","Crocuta_crocuta","Spotted hyena","Brainmuseum",11.0508900053737,4.97002161121096
"Cynictis_penicillata","Yellow mongoose",1.93971268797377,2.10506894732618,2.31725430864029,1.97962722568802,0.0799123881549272,0.497689441212487,-0.697242780038863,"Cynictis_penicillata","Cynictis_penicillata","Yellow mongoose","Brainmuseum",6.73340189183736,2.35042242240821
"Cynocephalus_volans","Philippine flying lemur",1.64878794944909,1.89322341870239,2.01208038310034,1.81538860656294,0.268232481907979,0.607603693121585,-0.685747145602222,"Cynocephalus_volans","Cynocephalus_volans","Philippine flying lemur","Brainmuseum",6.69703424766648,1.82454929205105
"Dasypus_novemcinctus","Nine-banded armadillo",2.20648355269736,2.27032788683323,2.2453758035054,1.81793980430529,0.0333720915031275,0.416118432424025,-0.701411072409056,"Dasypus_novemcinctus","Dasypus_novemcinctus","Nine-banded armadillo","Brainmuseum",8.3039999709552,2.32727770558442
"Elephantulus_myurus","Elephant shrew",1.50415383834615,1.91835564144519,1.88924441343354,1.58578251529952,0.172693892082814,0.301896681740947,-0.799461386987728,"Elephantulus_myurus","Elephantulus_myurus","Elephant shrew","Brainmuseum",3.99959422567628,0.314810739840033
"Equus_grevyi","Zebra",2.82154157764641,2.77402090379217,3.34777730645187,2.76040471651976,0.254850706377573,0.612049056698038,NA,"Equus_burchellii","Equus_grevyi","Zebra","Brainmuseum",12.4292161968443,6.41673228251232
"Erethizon_dorsatum","North American Porcupine Cell stain",2.12863111057579,2.31359444796065,2.48922199388737,1.9750307008193,0.065848687586962,0.392348802403466,-0.664435795427923,"Erethizon_dorsatum","Erethizon_dorsatum","North American porcupine","Brainmuseum",8.21630429147717,2.83907846350861
"Erinaceus_europaeus","West European hedgehog Cell",1.45129362405868,1.84377589253404,1.85296769754263,1.60792793579913,-0.0373623847714147,0.449353576870875,-0.8087530456764,"Erinaceus_europaeus","Erinaceus_europaeus","West European hedgehog","Brainmuseum",6.75693238924755,1.20896034583698
"Eulemur_mongoz","Mongoose lemur",2.02826502258682,2.19273235411712,2.49079148338773,2.09469748437029,0.00747141725250937,0.474565483419213,-0.685804020896716,"Eulemur_mongoz","Eulemur_mongoz","Mongoose lemur","Brainmuseum",7.10002716662926,3.00419635196612
"Felis_catus","Cat",2.07862573672728,2.29315642070983,2.57943271889691,2.20725690343361,-0.036599744438059,0.304188404919086,-0.723751948880456,"Felis_catus","Felis_catus","Cat","Brainmuseum",8.10167774745457,3.24259235148551
"Galictis_vittata","Greater Grison Cell stain",2.01103320924258,2.39191439498892,2.47379523917704,2.1670408673573,0.106909669843628,0.576512545832093,-0.750928891181752,"Galictis_vittata","Galictis_vittata","Greater grison","Brainmuseum",7.76131918094799,3.14285833844428
"Homo_sapiens","Human 20um BigBrain",3.37226202786118,3.42608402018334,3.89390487619137,3.11081063212857,0.136085209037635,0.453150889646028,-0.533681152692643,"Homo_sapiens","Homo_sapiens","Human","BigBrain Project",11.0821425488778,7.1929342212158
"Lama_glama","Llama",2.59236333509525,2.69107791295919,3.10145685587037,2.6169828571809,0.144123171644562,0.479293580154753,-0.556455399336644,"Lama_glama","Lama_glama","Llama","Brainmuseum",11.4099731583589,5.57670639208822
"Macaca_mulatta","Rhesus macaque rm316 Nissl",2.57184001822666,2.63655269986983,3.04718389372502,2.47692022090255,0.102291093819335,0.57521407656635,-0.758438578336545,"Macaca_mulatta","Macaca_mulatta","Rhesus macaque","Brainmaps",8.8236479491913,4.4884116253779
"Macaca_nemestrina","Pig-tailed macaque",2.45198251548603,2.60820213448433,3.07462938712226,2.62027306990489,0.024929982508232,0.445246562480139,-0.561323191043764,"Macaca_nemestrina","Macaca_nemestrina","Pig-tailed macaque","Brainmuseum",9.08489052125877,4.65956366981842
"Macropus_fuliginosus","Gray kangaroo",2.25790168395698,2.47747941573566,2.59262899293733,2.16654813057556,-0.0226601952970981,0.363647435572581,-0.632739149544647,"Macropus_fuliginosus","Macropus_fuliginosus","Grey kangaroo","Brainmuseum",10.5050675395706,4.06044301054642
"Mandrillus_sphinx","Mandrill cell stained",2.47102588401543,2.65561317507565,3.05210551338418,2.59898709723816,-0.0139594369815345,0.349048433660803,-0.541380278426693,"Mandrillus_sphinx","Mandrillus_sphinx","Mandrill","Brainmuseum",10.0690019910137,5.03617307788409
"Mustela_erminea","Weasel",1.3865955015868,1.71313329953447,1.80864504805717,1.70316534926552,-0.0832516183083501,0.376721482787631,-0.658862361259036,"Mustela_erminea","Mustela_erminea","Weasel","Brainmuseum",4.78749174278205,1.38629436111989
"Myrmecophaga_tridactyla","Giant anteater",2.39566859177545,2.50772309757941,2.6575176851601,2.09407129303109,0.0317871314664527,0.487208745774646,-0.608167220082556,"Myrmecophaga_tridactyla","Myrmecophaga_tridactyla","Giant anteater","Brainmuseum",10.244332358385,4.22390976657674
"Nasua_narica","White-nosed Coati",2.2361638562821,2.39155356706167,2.51573026466898,2.18954488845721,-0.107317452278335,0.259610091804075,-0.736113130736549,"Nasua_narica","Nasua_narica","White-nosed coati","Brainmuseum",8.21608809863232,3.63758615972639
"Neogale_vison","American mink Cell stain",1.65513076372353,1.98205647184921,2.16797755428236,2.0119855160375,-0.164302273864793,0.317638866506838,-0.858233636297696,"Neogale_vison","Neogale_vison","American mink","Brainmuseum",6.46925031679577,1.94591014905531
"Odocoileus_virginianus","White-tailed deer",2.54903231356638,2.58073744511175,3.00650030056893,2.58263809750945,0.137021755887568,0.574242494975428,-0.479014992831765,"Odocoileus_virginianus","Odocoileus_virginianus","White-tailed deer","Brainmuseum",10.5966347330961,5.07517381523383
"Oryctolagus_cuniculus","European rabbit",1.887439457073,2.21814734497681,2.14746367076962,1.76865920292358,-0.0222652332099049,0.42829367914455,-0.737605870658124,"Oryctolagus_cuniculus","Oryctolagus_cuniculus","European rabbit","Brainmuseum",8.43598313599069,2.30757263450508
"Ovis_aries","Sheep",2.64042571726603,2.60761481167685,2.96838118271545,2.50044122540603,0.211783573571871,0.607271959081678,NA,"Ovis_aries_domestica","Ovis_aries","Sheep","Brainmuseum",10.9241382997345,5.16478597392351
"Pan_troglodytes","Chimpanzee",2.97096956304214,2.97916024984089,3.37900210187662,2.85376212969573,0.115908513180026,0.49288094206221,NA,"Pan_troglodytes","Pan_troglodytes","Chimpanzee","Brainmuseum",10.7136841663987,5.90903357312882
"Panthera_leo","Lion",2.80502602094101,2.71789222489645,3.27455494552701,2.71601365603315,0.183456584501933,0.507633696995636,-0.469331670421525,"Panthera_leo","Panthera_leo","Lion","Brainmuseum",11.9922604216448,5.40999290043863
"Pecari_tajacu","Collared peccary",2.33953485161335,2.42357933272782,2.54178776519092,2.23131180040275,0.207964507771318,0.551835969178165,-0.633588250518177,"Pecari_tajacu","Pecari_tajacu","Collared peccary","Brainmuseum",9.0395520509959,4.18965474202643
"Perodicticus_potto","Potto",1.82293166735946,2.16546192748198,2.26910838490752,2.02923796946117,-0.123689522724039,0.443255245906816,-0.740112390867076,"Perodicticus_potto","Perodicticus_potto","Potto","Brainmuseum",6.72743172485086,2.51930807650533
"Phoca_vitulina","Harbor seal",2.69799075819026,2.78265195850729,3.13284187077813,2.71860343511651,-0.0270405250277913,0.323787493139082,NA,"Phoca_vitulina","Phoca_vitulina","Harbor seal","Brainmuseum",12.3444858526838,5.14312447714233
"Procavia_capensis","Rock hyrax",1.78416384001842,2.06954154968326,2.32852472163678,1.98571645837662,-0.0424556273622413,0.581034907864575,-0.752247617502531,"Procavia_capensis","Procavia_capensis","Rock hyrax","Brainmuseum",8.03592636989179,2.99922616280825
"Pteropus_giganteus","Indian flying fox",1.90467762855977,2.10535316493916,2.25006305737529,1.87389390641594,0.0764781064945697,0.524433319084888,-0.739520757672523,"Pteropus_giganteus","Pteropus_giganteus","Indian flying fox","Brainmuseum",6.3578422665081,2.0515563381903
"Saimiri_sciureus","Squirrel Monkey",1.82768350950217,2.18167024585282,2.46738118005961,2.19980968253637,-0.0456483886903073,0.508691852562384,-0.783651969833894,"Saimiri_sciureus","Saimiri_sciureus","Squirrel monkey","Brainmuseum",6.68336094576627,3.18387021566939
"Scalopus_aquaticus","Eastern mole",1.09005006498208,1.47577518814704,1.52004369324312,1.45772197326745,-0.283245132358597,0.275272701715949,-0.965568083034865,"Scalopus_aquaticus","Scalopus_aquaticus","Eastern mole","Brainmuseum",4.74493212836325,0.22314355131421
"Semnopithecus_entellus","Northern Plains Gray langur",2.53482394785374,2.71442873098261,3.04439501647856,2.53440096208526,0.022796941694484,0.490037166499902,-0.562563383865318,"Semnopithecus_entellus","Semnopithecus_entellus","Northern plains grey langur","Brainmuseum",9.59845584174923,4.70889937175057
"Sorex_araneus","Common shrew cell staining",0.926958184769602,1.37632811992309,1.37693279721424,1.35209085541637,NA,NA,-0.994875279896646,"Sorex_araneus","Sorex_araneus","Common shrew","Brainmuseum",2.33214389523559,-1.6094379124341
"Sus_scrofa","Pig",2.50755107131255,2.58544456159934,2.78730006740487,2.39940894086213,0.071520059235856,0.396676578574655,-0.486677169540534,"Sus_scrofa_domesticus","Sus_scrofa","Pig","Brainmuseum",11.6699292137799,5.23750522715128
"Tamandua_tetradactyla","Collared anteater",2.19386284021465,2.36497992229206,2.43457096246598,1.99046311411582,-0.00929629961275687,0.557911749965083,-0.697517549327704,"Tamandua_tetradactyla","Tamandua_tetradactyla","Collared anteater","Brainmuseum",7.91571319938212,3.23474917402449
"Taxidea_taxus","American badger Cell stain",2.17699865071799,2.34433769259408,2.6555793199334,2.2434936395938,0.119981080015539,0.480951170993526,-0.696998446344158,"Taxidea_taxus","Taxidea_taxus","American badger","Brainmuseum",8.86925752279729,3.88998187455127
"Tenrec_ecaudatus","Tail-less Tenrec",1.66667654939165,1.82121187117731,2.09223206310833,1.74472447292909,0.238953137748088,0.552750154302974,-0.650691383212139,"Tenrec_ecaudatus","Tenrec_ecaudatus","Tailless tenrec","Brainmuseum",6.72383244082121,0.943905898907128
"Thomomys_talpoides","Northern Pocket gopher",1.62959749070846,1.94424818489955,1.70436543240622,1.48734051244693,-0.16610622604763,0.150244675951094,-0.783937073354728,"Thomomys_talpoides","Thomomys_talpoides","Northern pocket gopher","Brainmuseum",4.50645421304893,0.0582689081239758
"Trichechus_manatus","Manatee cell stain",2.92553079645711,2.96118911212877,3.30228908464649,2.46870363934284,0.178723413392043,0.578347224589857,-0.668647623208326,"Trichechus_manatus_latirostris","Trichechus_manatus","Florida manatee","Brainmuseum",13.0919041699196,5.75890177387728
"Tupaia_glis","Treeshrew",1.45106779778241,1.90187479850948,1.86285116317071,1.69613668024207,-0.0234856227969527,0.152088007809962,-0.906855090627082,"Tupaia_glis","Tupaia_glis","Common treeshrew","Brainmuseum",5.13579843705026,1.16315080980568
"Ursus_maritimus","Polar bear",2.92609981861784,2.83020396853505,3.30574172756805,2.72418729978496,0.117124149281497,0.460970104424421,NA,"Ursus_maritimus","Ursus_maritimus","Polar bear","Brainmuseum",12.8706917424756,6.13000835655604
"Zalophus_californianus","California sea lion",3.03986548870556,3.04334939445893,3.27178975613854,2.86278934049464,0.0626943902605956,0.415223803386,NA,"Zalophus_californianus","Zalophus_californianus","California sea lion","Brainmuseum",12.7728059012345,5.42164058258004
